country,year,emissions
Zimbabwe,1850,0.0
Zimbabwe,1851,0.0
Zimbabwe,1852,0.0
Zimbabwe,1853,0.0
Zimbabwe,1854,0.0
Zimbabwe,1855,0.0
Zimbabwe,1856,0.0
Zimbabwe,1857,0.0
Zimbabwe,1858,0.0
Zimbabwe,1859,0.0
Zimbabwe,1860,0.0
Zimbabwe,1861,0.0
Zimbabwe,1862,0.0
Zimbabwe,1863,0.0
Zimbabwe,1864,0.0
Zimbabwe,1865,0.0
Zimbabwe,1866,0.0
Zimbabwe,1867,0.0
Zimbabwe,1868,0.0
Zimbabwe,1869,0.0
Zimbabwe,1870,0.0
Zimbabwe,1871,0.0
Zimbabwe,1872,0.0
Zimbabwe,1873,0.0
Zimbabwe,1874,0.0
Zimbabwe,1875,0.0
Zimbabwe,1876,0.0
Zimbabwe,1877,0.0
Zimbabwe,1878,0.0
Zimbabwe,1879,0.0
Zimbabwe,1880,0.0
Zimbabwe,1881,0.0
Zimbabwe,1882,0.0
Zimbabwe,1883,0.0
Zimbabwe,1884,0.0
Zimbabwe,1885,0.0
Zimbabwe,1886,0.0
Zimbabwe,1887,0.0
Zimbabwe,1888,0.0
Zimbabwe,1889,0.0
Zimbabwe,1890,0.0
Zimbabwe,1891,0.0
Zimbabwe,1892,0.0
Zimbabwe,1893,0.0
Zimbabwe,1894,0.0
Zimbabwe,1895,0.0
Zimbabwe,1896,0.0
Zimbabwe,1897,0.0
Zimbabwe,1898,0.0
Zimbabwe,1899,0.0
Zimbabwe,1900,0.0
Zimbabwe,1901,0.0
Zimbabwe,1902,0.0
Zimbabwe,1903,0.11
Zimbabwe,1904,0.14
Zimbabwe,1905,0.23
Zimbabwe,1906,0.25
Zimbabwe,1907,0.28
Zimbabwe,1908,0.4
Zimbabwe,1909,0.41
Zimbabwe,1910,0.43
Zimbabwe,1911,0.51
Zimbabwe,1912,0.52
Zimbabwe,1913,0.58
Zimbabwe,1914,0.84
Zimbabwe,1915,0.99
Zimbabwe,1916,1.18
Zimbabwe,1917,1.32
Zimbabwe,1918,1.18
Zimbabwe,1919,1.23
Zimbabwe,1920,1.39
Zimbabwe,1921,1.39
Zimbabwe,1922,1.24
Zimbabwe,1923,1.48
Zimbabwe,1924,1.57
Zimbabwe,1925,1.83
Zimbabwe,1926,2.32
Zimbabwe,1927,2.41
Zimbabwe,1928,2.91
Zimbabwe,1929,2.75
Zimbabwe,1930,2.49
Zimbabwe,1931,1.56
Zimbabwe,1932,1.16
Zimbabwe,1933,1.28
Zimbabwe,1934,1.71
Zimbabwe,1935,1.84
Zimbabwe,1936,1.87
Zimbabwe,1937,2.73
Zimbabwe,1938,2.77
Zimbabwe,1939,2.97
Zimbabwe,1940,3.43
Zimbabwe,1941,3.74
Zimbabwe,1942,4.14
Zimbabwe,1943,4.72
Zimbabwe,1944,4.8
Zimbabwe,1945,4.46
Zimbabwe,1946,4.31
Zimbabwe,1947,4.04
Zimbabwe,1948,4.54
Zimbabwe,1949,5.13
Zimbabwe,1950,3.44
Zimbabwe,1951,3.79
Zimbabwe,1952,4.26
Zimbabwe,1953,4.64
Zimbabwe,1954,5.1
Zimbabwe,1955,6.01
Zimbabwe,1956,6.55
Zimbabwe,1957,6.74
Zimbabwe,1958,6.01
Zimbabwe,1959,6.72
Zimbabwe,1960,6.4
Zimbabwe,1961,5.46
Zimbabwe,1962,5.27
Zimbabwe,1963,5.07
Zimbabwe,1964,4.47
Zimbabwe,1965,5.21
Zimbabwe,1966,6.04
Zimbabwe,1967,5.29
Zimbabwe,1968,6.38
Zimbabwe,1969,6.75
Zimbabwe,1970,8.16
Zimbabwe,1971,7.53
Zimbabwe,1972,7.18
Zimbabwe,1973,8.35
Zimbabwe,1974,8.04
Zimbabwe,1975,7.5
Zimbabwe,1976,8.25
Zimbabwe,1977,7.16
Zimbabwe,1978,7.28
Zimbabwe,1979,7.22
Zimbabwe,1980,8.2
Zimbabwe,1981,8.24
Zimbabwe,1982,8.05
Zimbabwe,1983,8.3
Zimbabwe,1984,8.62
Zimbabwe,1985,10.08
Zimbabwe,1986,11.3
Zimbabwe,1987,14.8
Zimbabwe,1988,14.41
Zimbabwe,1989,14.77
Zimbabwe,1990,16.6
Zimbabwe,1991,18.37
Zimbabwe,1992,18.55
Zimbabwe,1993,17.17
Zimbabwe,1994,16.05
Zimbabwe,1995,15.57
Zimbabwe,1996,14.95
Zimbabwe,1997,13.93
Zimbabwe,1998,14.17
Zimbabwe,1999,15.91
Zimbabwe,2000,13.79
Zimbabwe,2001,13.97
Zimbabwe,2002,12.54
Zimbabwe,2003,10.21
Zimbabwe,2004,9.82
Zimbabwe,2005,10.57
Zimbabwe,2006,9.91
Zimbabwe,2007,9.82
Zimbabwe,2008,7.65
Zimbabwe,2009,7.53
Zimbabwe,2010,9.63
Zimbabwe,2011,11.57
Zimbabwe,2012,11.99
Zimbabwe,2013,12.36
